scorer,movement,movement,movement,movement,movement,movement
individuals,individual_0,individual_0,individual_0,individual_0,individual_0,individual_0
bodyparts,H,H,H,T,T,T
coords,x,y,likelihood,x,y,likelihood
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,0.9879087209701538,,,0.9742629528045654
8,1180.0946044921875,600.8986206054688,1.0022119283676147,1164.041748046875,592.2724609375,0.9710373878479004
9,,,,,,
10,,,1.0135761499404907,,,0.9706686735153198
11,,,0.9756044745445251,,,0.9564745426177979
12,1175.8370361328125,600.3460693359375,1.0146660804748535,1159.8326416015625,591.988525390625,0.9548727869987488
13,1168.7540283203125,600.6572265625,0.9787040948867798,1152.4598388671875,592.1085815429688,0.9693036675453186
14,1165.0091552734375,600.7395629882812,0.9767627716064453,1148.7442626953125,592.08154296875,0.9672194123268127
15,1164.7388916015625,600.37841796875,0.9846059083938599,1148.4722900390625,591.8187255859375,0.9743563532829285
16,1160.9595947265625,600.3599243164062,0.979684591293335,1144.7264404296875,591.6281127929688,0.9609578251838684
17,1167.6849365234375,596.6240844726562,1.0148800611495972,1151.6793212890625,588.206787109375,0.9793400168418884
18,1164.050048828125,596.7840576171875,0.9999442100524902,1148.011474609375,588.1292114257812,0.9637413620948792
19,1156.944580078125,596.7403564453125,0.9761438965797424,1140.579345703125,588.4400024414062,0.9854423999786377
20,1156.6448974609375,596.730712890625,0.9850587844848633,1140.6004638671875,588.1748657226562,0.967556357383728
21,1153.0330810546875,596.6107788085938,0.974025309085846,1136.771240234375,588.1134643554688,0.9719035029411316
22,1152.78271484375,596.4349365234375,0.9783446192741394,1136.4931640625,587.9013671875,0.9726987481117249
23,1149.1097412109375,596.60986328125,0.9737116694450378,1132.8646240234375,587.91162109375,0.9621837735176086
24,1148.813720703125,596.39453125,0.9844685196876526,1132.619873046875,587.7005615234375,0.97324538230896
25,1148.6549072265625,596.060546875,0.9858854413032532,1132.3731689453125,587.5098266601562,0.9675447940826416
26,1145.0740966796875,596.3175048828125,0.9725603461265564,1128.831298828125,587.47607421875,0.9571081399917603
27,1144.8250732421875,596.2305297851562,0.9815195798873901,1128.63525390625,584.565185546875,0.9624123573303223
28,1151.7183837890625,592.7059326171875,1.0069599151611328,1135.718505859375,584.072509765625,0.9727904796600342
29,1148.03515625,592.5982055664062,1.005837321281433,1131.991455078125,584.0208740234375,0.9499260187149048
30,1140.8695068359375,592.6973266601562,0.9808520674705505,1124.6614990234375,584.19189453125,0.9732067584991455
31,1147.7393798828125,592.2425537109375,1.0136164426803589,1131.709716796875,583.9298706054688,0.9623213410377502
32,,,0.9800831079483032,,,0.9572163820266724
33,1136.8966064453125,592.58935546875,0.9842720031738281,1120.6962890625,583.8429565429688,0.9658201932907104
34,1140.1055908203125,589.2642822265625,0.9813945889472961,1124.28466796875,580.43603515625,0.969962477684021
35,1140.0172119140625,589.0862426757812,0.9837470054626465,1124.09521484375,580.2515258789062,0.9728365540504456
36,1139.9658203125,588.9407958984375,0.9915668964385986,1123.9774169921875,580.1658325195312,0.9731681942939758
37,1139.8077392578125,588.8142700195312,0.9990419149398804,1123.676025390625,580.2116088867188,0.9654808640480042
38,1139.732177734375,588.61376953125,1.0088918209075928,1123.5845947265625,580.2515258789062,0.9596235752105713
39,1132.8106689453125,588.6517333984375,0.9836840033531189,1116.5279541015625,580.314453125,0.9819778203964233
40,1132.62744140625,588.5836181640625,0.989549994468689,1116.427978515625,580.1552124023438,0.9680050611495972
41,1129.0848388671875,588.7225952148438,0.9766191840171814,1112.840087890625,580.1426391601562,0.9654635787010193
42,1128.9605712890625,588.5508422851562,0.9805582165718079,1112.7271728515625,579.98046875,0.9670876860618591
43,1128.89697265625,588.4346923828125,0.982960045337677,1112.6396484375,579.9155883789062,0.9737390279769897
44,1128.830322265625,588.4134521484375,0.9817519783973694,1112.576904296875,579.8995361328125,0.9724107980728149
