x,y,z
2.2200391,0.22989199,-1.0908601
2.2223063,0.22863773,-1.0911679
2.2203875,0.22930647,-1.0909401
2.2195442,0.2293194,-1.0908633
2.2187219,0.22936027,-1.0907862
2.2179291,0.22937611,-1.0907137
2.2171378,0.22934842,-1.090645
2.2163515,0.22929358,-1.090579
2.2172625,0.22973853,-1.0906237
2.2168887,0.22794873,-1.0907391
2.21611,0.22791159,-1.0906723
2.2154076,0.22786763,-1.0906129
2.2147727,0.2278297,-1.0905592
2.2157073,0.22822163,-1.0906105
2.2154462,0.22645178,-1.0907342
2.2147908,0.226399,-1.0906799
2.2159214,0.2268271,-1.0907457
2.2152705,0.22679983,-1.0906895
2.2162948,0.22715959,-1.0907515
2.2159903,0.22536054,-1.090874
2.215251,0.22534579,-1.0908089
2.2147121,0.22539108,-1.0907567
2.2158618,0.22577906,-1.0908276
2.2153058,0.22574225,-1.0907807
2.2148094,0.2257297,-1.0907373
2.2142568,0.22577798,-1.0906837
2.2160115,0.22357558,-1.0910244
2.215366,0.22352846,-1.0909704
2.2146125,0.2243815,-1.0908318
2.2140088,0.22433996,-1.0907811
2.2155132,0.22290769,-1.0910352
2.2148523,0.22285986,-1.0909799
2.2142363,0.22287226,-1.0909237
2.2137704,0.22193263,-1.09096
2.213161,0.22193837,-1.090905
2.2125049,0.2218782,-1.0908511
2.2120597,0.2209514,-1.0908883
2.2139847,0.22154832,-1.0910113
2.2133708,0.22152233,-1.0909584
2.2129107,0.22065732,-1.0909891
2.2120771,0.22150731,-1.0908434
2.2123132,0.21975285,-1.0910108
2.2121081,0.21975422,-1.0909922
2.2119274,0.2197604,-1.0909754
2.2117813,0.2197612,-1.0909623
2.2124486,0.21994725,-1.0910066
2.2124434,0.21907595,-1.0910788
2.2122242,0.21905664,-1.0910606
2.212217,0.21813993,-1.0911362
2.212171,0.2172971,-1.0912023
2.2117486,0.21808667,-1.0910987
2.2116976,0.21713528,-1.0911733
2.211464,0.2170972,-1.0911555
2.211441,0.21613926,-1.0912333
2.2112346,0.21614555,-1.0912142
2.2110019,0.21614094,-1.0911937
2.2106915,0.21611106,-1.0911683
2.2103627,0.2160353,-1.091145
2.2100463,0.21600334,-1.0911193
2.2097373,0.21593413,-1.0910974
2.209824,0.21416897,-1.0912521
2.2098064,0.21417046,-1.0912504
2.2089043,0.21394256,-1.0911884
2.2080479,0.21364674,-1.0911362
2.2080207,0.213635,-1.0911347
2.2084575,0.21187896,-1.09132
2.208427,0.211824,-1.091322
2.208404,0.21176992,-1.0913243
2.2083964,0.21179138,-1.0913218
2.2083855,0.21183276,-1.0913174
2.208301,0.21173649,-1.0913179
2.2082548,0.21173263,-1.0913141
2.2086499,0.2100624,-1.0914885
2.20864,0.21005887,-1.0914879
2.2085657,0.21007583,-1.0914799
2.2085094,0.21006468,-1.0914757
2.20847,0.21000695,-1.091477
2.2065992,0.20952925,-1.0913489
2.2066422,0.20951205,-1.0913541
2.2070904,0.20774975,-1.091541
2.207128,0.20776251,-1.0915434
2.2072062,0.20777416,-1.0915494
2.2072613,0.20772116,-1.0915588
2.2072957,0.20765024,-1.0915678
2.2073035,0.20763485,-1.0915697
2.2081637,0.20789874,-1.091625
2.2073493,0.20774406,-1.0915648
2.207364,0.20780537,-1.0915611
2.2077641,0.20605534,-1.0917425
2.2060566,0.2055996,-1.0916272
2.2060356,0.20548937,-1.0916345
2.2060165,0.20547654,-1.0916339
2.206019,0.20541354,-1.0916394
2.206441,0.2037102,-1.091819
2.2064533,0.2037533,-1.0918165
2.207346,0.20395856,-1.0918796
2.2073154,0.20387492,-1.0918838
