theta,tx,ty
-3.0069e-05,-0.107792,0.0291036
-6.35248e-05,-0.182939,0.0302481
-0.000102073,-0.299566,0.0337935
-0.00010289,-0.450233,0.0443813
-0.000129285,-0.541078,0.0565838
-0.000150475,-0.604381,0.0765269
-0.000163186,-0.670539,0.0956935
-0.000181324,-0.826418,0.112251
-0.00021212,-0.915217,0.126521
-0.000221098,-0.977344,0.144988
-0.000234582,-1.0183,0.155237
-0.000293996,-1.1433,0.167308
-0.00029853,-1.21971,0.174503
-0.000331251,-1.2717,0.198689
-0.000365219,-1.33798,0.228615
-0.000445056,-1.47645,0.28391
-0.000441557,-1.49739,0.286638
-0.000406189,-1.59178,0.287371
-0.000488715,-1.67304,0.342781
