theta,tx,ty
-2.37237e-05,2.21872,-1.47202
-7.49225e-05,4.6159,-2.97021
-0.000137442,6.95871,-4.42349
-0.000187815,9.31111,-5.88867
-0.000251072,11.6797,-7.21165
-0.000395709,14.082,-8.66013
-0.000447431,16.348,-9.96368
-0.00102367,19.5389,-10.4597
0.00316986,8.92392,-6.37521
0.00384517,10.0502,-6.55911
0.000897398,6.96068,-2.57749
0.00220208,6.18576,-2.96597
0.00225911,5.89264,-2.53873
0.002446,6.7266,-3.14328
0.00400844,7.89264,-4.30845
0.00261518,3.91212,-2.52682
0.00158545,4.44239,-2.6887
0.00159061,4.95711,-2.48685
0.0015591,3.59526,-0.119755
