theta,tx,ty
2.45347e-05,1.08235,0.430159
3.56711e-06,1.19972,0.422593
7.97703e-05,1.09691,0.397563
7.48648e-05,1.13254,0.432469
3.61096e-05,1.14239,0.413654
5.42722e-05,1.17629,0.41638
9.5553e-06,1.23525,0.450145
5.32377e-05,1.28085,0.437123
8.47944e-05,1.27307,0.410807
-8.05119e-06,1.29145,0.439696
2.53502e-05,1.44535,0.399638
1.98217e-05,1.34899,0.411505
5.93212e-05,1.42405,0.408738
-6.23074e-05,1.66392,0.44419
-2.59884e-05,1.98794,0.498987
6.46629e-05,2.12808,0.409689
5.75423e-05,1.94564,0.475796
2.44325e-05,1.8452,0.451049
2.79483e-05,1.53815,0.472948
6.15726e-05,1.66338,0.329564
2.08825e-05,1.65172,0.420841
1.02623e-05,1.59898,0.464106
1.45861e-06,1.54047,0.466285
-4.82225e-05,1.46362,0.455624
-6.08113e-05,1.4019,0.464831
-4.44387e-05,1.44296,0.497294
-7.1465e-08,1.33521,0.484196
-3.26673e-05,1.19774,0.390675
-5.1468e-05,1.36889,0.464167
-6.18422e-05,1.30567,0.424919
-2.82621e-06,1.1566,0.425184
-5.36277e-05,1.198,0.418929
-1.99504e-06,1.17095,0.322679
-3.64157e-05,1.06055,0.395328
-1.79886e-05,1.02801,0.342026
1.48446e-05,1.0037,0.311253
-7.11451e-05,0.982777,0.379886
2.70846e-05,0.883262,0.300457
-8.16281e-05,0.968629,0.318653
7.03068e-07,0.879387,0.253565
-5.54805e-05,0.822002,0.316162
-4.65141e-05,0.787837,0.279245
-5.22652e-05,0.768956,0.247492
-5.13673e-05,0.762903,0.262047
-2.63676e-05,0.694374,0.248275
-2.19333e-05,0.579031,0.231103
2.82151e-05,0.644968,0.209672
-5.30969e-05,0.551015,0.231526
-4.74426e-05,0.537548,0.226381
-2.44751e-05,0.48798,0.207094
1.25174e-05,0.292662,0.158695
-2.58534e-05,0.280922,0.149729
-3.89156e-05,0.291447,0.157577
-6.10923e-05,0.265498,0.171088
-8.25249e-06,0.220997,0.172538
-1.31023e-05,0.158967,0.145739
4.30125e-06,0.15546,0.118839
1.52988e-05,0.108477,0.094689
-5.33138e-06,0.06076,0.0825458
1.33799e-05,0.0407619,0.0603871
-1.80124e-05,0.0315584,0.0562151
-4.13663e-05,0.0538425,0.0811348
-4.00478e-05,0.0475577,0.0757518
-2.37523e-05,0.0226903,0.0915528
-3.86782e-05,0.0303164,0.068128
4.73276e-07,-0.000768236,0.0805753
-3.11701e-05,-0.00842505,0.0711547
-4.0527e-06,-0.0411108,0.0888467
-2.4254e-05,-0.0513863,0.0719283
1.49334e-06,-0.055552,0.0916837
-3.5598e-05,-0.0559446,0.0843338
2.28633e-06,-0.0273139,0.0700818
-5.02975e-07,-0.0407032,0.0800775
-6.79982e-06,-0.0736005,0.0804424
4.16316e-06,-0.057696,0.0984348
2.03736e-05,-0.0881961,0.0799778
5.94286e-06,-0.100632,0.0627281
-1.01137e-05,-0.109972,0.0599196
-7.84803e-07,-0.13406,0.0371263
5.20596e-06,-0.138928,0.0520096
-1.56511e-05,-0.13423,0.0486779
7.44167e-06,-0.096156,0.0759804
1.43111e-07,-0.103808,0.0543328
-2.37402e-05,-0.108374,0.0426763
-2.27501e-05,-0.103664,0.0483492
2.96288e-05,-0.101564,0.0724053
9.76093e-06,-0.0811682,0.0614311
-2.23642e-05,-0.0539988,0.0420739
-2.63994e-05,-0.0496997,0.0366147
1.37589e-05,-0.0589934,0.0977989
-2.13339e-05,-0.0914085,0.0763615
4.01708e-05,-0.101322,0.0533738
4.95893e-06,-0.0742839,0.0485964
-1.17021e-05,-0.0776824,0.121046
-6.17762e-06,-0.104073,0.0681751
2.9326e-05,-0.082124,0.0719364
1.3658e-05,-0.0933736,0.0527639
-1.15969e-05,-0.0879114,0.0483647
1.71361e-05,-0.0715219,0.0716584
6.8746e-06,-0.107588,0.0682904
2.04446e-06,-0.115817,0.0729954
-1.08957e-05,-0.0629321,0.00675281
2.10365e-05,-0.0724036,0.0521552
3.71566e-06,-0.139056,0.0991111
