theta,tx,ty
3.65269e-05,1.06339,0.450534
8.6029e-06,1.19702,0.424645
8.25635e-05,1.0934,0.409683
7.09415e-05,1.12484,0.444346
3.6345e-05,1.13501,0.418683
5.7772e-05,1.17276,0.412401
2.08865e-05,1.24541,0.454721
5.17523e-05,1.29291,0.434927
7.31803e-05,1.27223,0.405643
-2.02193e-05,1.29429,0.43674
2.65967e-05,1.42827,0.393856
2.15854e-05,1.34538,0.407515
4.57554e-05,1.41395,0.427955
-5.14548e-05,1.65318,0.423406
-2.83277e-05,1.99248,0.51517
6.87207e-05,2.13263,0.407169
8.31267e-05,1.95744,0.473542
1.37264e-05,1.84203,0.449909
4.2962e-06,1.54746,0.470621
6.0834e-05,1.65346,0.337673
9.42284e-06,1.64299,0.405479
-3.46342e-07,1.59616,0.463863
9.92785e-06,1.53534,0.479268
-2.90008e-05,1.45954,0.461205
-5.28594e-05,1.40003,0.467749
-3.03124e-05,1.45054,0.504612
-6.41518e-06,1.32763,0.485125
-2.85714e-05,1.19707,0.393587
-4.69468e-05,1.36641,0.468513
-7.14945e-05,1.30202,0.42469
-1.37047e-05,1.15064,0.425193
-6.3742e-05,1.18968,0.432259
2.23326e-05,1.16792,0.330536
-2.85244e-05,1.06046,0.390056
-1.48911e-05,1.02153,0.3527
-1.11642e-05,1.0184,0.320504
-8.79888e-05,0.979597,0.361338
3.91286e-05,0.877528,0.305338
-7.64361e-05,0.959774,0.323546
-1.03344e-05,0.890394,0.253734
-4.23589e-05,0.829261,0.310353
-3.60369e-05,0.783709,0.276874
-4.82866e-05,0.760819,0.27457
-3.99543e-05,0.767968,0.263596
-1.38568e-05,0.682374,0.246189
-1.29591e-05,0.578416,0.236235
3.10055e-05,0.641534,0.211069
-3.43472e-05,0.555874,0.231017
-4.31943e-05,0.542413,0.214722
-3.75422e-05,0.495451,0.211058
9.85554e-06,0.288115,0.155836
-1.35492e-05,0.278305,0.146718
-3.57641e-05,0.286655,0.159371
-5.73096e-05,0.268372,0.176346
-1.69571e-05,0.21868,0.177197
-1.60625e-05,0.155714,0.139127
1.06863e-05,0.152974,0.121539
2.01643e-05,0.107465,0.0929758
-2.96855e-06,0.0673616,0.0847369
1.92857e-05,0.0326273,0.0498261
-1.43438e-05,0.0303315,0.0502916
-4.34041e-05,0.0481525,0.0776673
-4.29161e-05,0.040781,0.0749535
-1.9238e-05,0.0155342,0.092394
-3.6843e-05,0.0281536,0.0736822
4.62329e-06,-0.00617651,0.0817945
-1.88568e-05,-0.0091018,0.0761431
-1.17113e-06,-0.0409896,0.083092
-2.32235e-05,-0.050315,0.0641615
-1.4206e-05,-0.0552557,0.0851767
-3.25039e-05,-0.0611583,0.0887193
4.42238e-06,-0.0301501,0.0589413
6.78166e-06,-0.0400502,0.0792695
-5.95202e-06,-0.0818623,0.0808232
1.06845e-05,-0.0548406,0.091027
5.79178e-06,-0.086272,0.0743305
1.6319e-05,-0.0980222,0.0731812
-1.06208e-05,-0.111361,0.0603094
-6.09989e-06,-0.134676,0.0445196
1.38946e-06,-0.146356,0.0568862
-1.17549e-05,-0.135664,0.0528295
1.03135e-06,-0.108853,0.0744536
-1.11101e-05,-0.109669,0.0528878
-5.0013e-06,-0.114774,0.0441615
-2.03531e-05,-0.10778,0.0447176
2.3122e-05,-0.108033,0.0723022
9.22622e-06,-0.0860188,0.0581856
-1.8659e-05,-0.0537576,0.0418013
-2.8473e-05,-0.0486948,0.0349761
2.97738e-05,-0.065965,0.103527
-2.84608e-05,-0.0891728,0.0814805
2.80929e-05,-0.1019,0.0552431
-5.29873e-06,-0.0781072,0.0466734
-1.11625e-05,-0.0769091,0.117521
-5.6564e-06,-0.0983027,0.0719128
3.35297e-05,-0.0731406,0.0753344
1.45876e-05,-0.0814668,0.0549901
-9.62169e-06,-0.0771645,0.0611054
1.2635e-05,-0.0663428,0.0796357
2.0955e-06,-0.111915,0.0735774
-5.45701e-06,-0.109996,0.0803444
1.51907e-06,-0.0637324,0.0135782
3.45886e-05,-0.0767531,0.0602089
-1.10185e-06,-0.141473,0.0987904
4.39472e-05,-0.0762128,0.116619
1.27433e-05,-0.135911,0.0556918
2.977e-05,-0.0960681,0.0655782
1.32663e-05,-0.0984676,0.0556466
2.36761e-05,-0.11581,0.072613
3.9329e-05,-0.12401,0.0597349
3.49499e-05,-0.127691,0.0477552
3.51471e-05,-0.158948,0.0436627
-1.22463e-05,-0.163036,0.0288108
2.75545e-05,-0.0933081,0.0425205
2.13882e-05,-0.0908199,0.0347416
1.29571e-05,-0.125363,0.00952056
1.07918e-05,-0.0804175,0.006949
2.03385e-06,-0.0981338,0.0169257
-1.97021e-06,-0.0783034,-0.000242736
5.69202e-06,-0.07618,-0.00821756
7.70972e-06,-0.132074,-0.00460655
9.41756e-06,-0.0763342,-0.00210787
2.29395e-05,-0.133441,-0.00336293
2.63399e-06,-0.0770048,-0.00344041
2.49476e-05,-0.105388,-0.00878494
2.79837e-05,-0.0996885,-0.0113444
1.14238e-05,-0.109775,-0.0165204
7.72499e-06,-0.0769073,-0.0191282
-6.27549e-06,-0.114638,-0.0138803
1.96212e-05,-0.0722229,-0.0110708
1.14328e-05,-0.0649998,-0.02162
1.58873e-05,-0.0324922,-0.00533784
8.24936e-06,-0.0497384,-0.0201003
-8.2745e-06,-0.0545162,-0.0184439
1.53644e-05,-0.102954,-0.0242282
5.26479e-06,-0.0848684,-0.0197988
1.24007e-05,-0.0820965,-0.0235546
3.12143e-05,-0.0931769,-0.018939
-1.36255e-05,-0.104771,-0.0184873
-1.06385e-05,-0.111117,-0.0203105
3.3596e-05,-0.0835175,-0.0196331
2.89957e-05,-0.0998335,-0.0195138
2.23351e-05,-0.139023,-0.0164986
1.04124e-05,-0.117503,-0.0170836
1.40613e-05,-0.151606,-0.0240692
3.30944e-05,-0.112718,-0.0250514
-4.64535e-06,-0.109758,-0.0275317
3.87571e-05,-0.0897313,-0.0209654
1.97542e-05,-0.0889024,-0.0235958
1.8254e-05,-0.0764998,-0.0194033
2.31763e-05,-0.123545,-0.0226914
1.67783e-05,-0.0858864,-0.0184272
3.88348e-05,-0.0838085,-0.00673725
